kind,wall_time,elapsed_s,arrival_gap_ms,source_gap_ms,px4_timestamp_us,agent_pid,agent_restarts,agent_active,load1,wlan_rx_packets,wlan_rx_dropped,wlan_tx_packets,wlan_tx_dropped,softnet_dropped_total,status,failsafe
sensor_combined,2026-08-07T14:58:22.179+08:00,4.734,30.73041200013904,13.502,1041132782,1667,0,active,1.35,,,,,0,,
failsafe_flags,2026-08-07T14:58:22.887+08:00,5.437,,,1042098212,1667,0,active,1.35,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:22.921+08:00,5.472,738.2471649998479,1008.228,1042141010,1667,0,active,1.35,,,,,0,,
vehicle_status,2026-08-07T14:58:22.953+08:00,5.504,,,1041944083,1667,0,active,1.35,,,,,0,"{'arming_state': 1, 'nav_state': 4, 'failsafe': True}",
sensor_combined,2026-08-07T14:58:22.988+08:00,5.540,67.76156300020375,40.46,1042181470,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.018+08:00,5.572,32.51607999982298,4.548,1042186018,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.050+08:00,5.603,30.47674800018285,8.954,1042194972,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.082+08:00,5.635,32.16377899980216,9.002,1042203974,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.111+08:00,5.665,30.626143000063166,9.001,1042212975,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.143+08:00,5.695,29.960170000094877,31.506,1042244481,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.174+08:00,5.726,31.061141999998654,9.05,1042253531,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.204+08:00,5.757,30.906754999932673,22.503,1042276034,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.235+08:00,5.787,29.999982999925123,8.954,1042284988,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.266+08:00,5.819,32.24382100006551,58.559,1042343547,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.298+08:00,5.850,30.646177000107855,31.457,1042375004,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.329+08:00,5.882,31.56389399987347,9.002,1042384006,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.359+08:00,5.913,31.474570999989737,58.511,1042442517,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.390+08:00,5.943,30.320311999957994,22.504,1042465021,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.421+08:00,5.974,30.448009000110687,9.001,1042474022,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.451+08:00,6.004,30.202824000070905,58.511,1042532533,1667,0,active,1.35,,,,,0,,
failsafe_flags,2026-08-07T14:58:23.483+08:00,6.034,,,1042638212,1667,0,active,1.35,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:23.513+08:00,6.067,62.40788899981453,54.009,1042586542,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.542+08:00,6.096,29.75880100007089,18.004,1042604546,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.573+08:00,6.126,29.800597000075868,31.553,1042636099,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.605+08:00,6.158,31.55531799984601,98.97,1042735069,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.635+08:00,6.188,30.780402000118556,9.002,1042744071,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.668+08:00,6.219,30.493773999978657,18.003,1042762074,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.699+08:00,6.252,33.281106000004,31.553,1042793627,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.728+08:00,6.283,30.334233000075983,8.954,1042802581,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.759+08:00,6.312,29.3761599998561,31.506,1042834087,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.790+08:00,6.343,31.26689600003374,31.505,1042865592,1667,0,active,1.35,,,,,0,,
vehicle_status,2026-08-07T14:58:23.819+08:00,6.373,,,1042957352,1667,0,active,1.35,,,,,0,"{'arming_state': 1, 'nav_state': 4, 'failsafe': True}",
sensor_combined,2026-08-07T14:58:23.850+08:00,6.403,59.712409999974625,27.006,1042892598,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.881+08:00,6.433,30.352956000115228,72.012,1042964610,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.910+08:00,6.464,30.71914699989975,31.555,1042996165,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.940+08:00,6.494,30.091802000015377,8.953,1043005118,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:23.971+08:00,6.524,29.931590999922264,18.003,1043023121,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.001+08:00,6.555,30.528881999998703,13.502,1043036623,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.031+08:00,6.584,29.850908000071286,18.003,1043054626,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.061+08:00,6.615,30.435398999998142,9.05,1043063676,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.091+08:00,6.645,30.105020000064542,31.458,1043095134,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.122+08:00,6.675,30.171236999876783,9.002,1043104136,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.153+08:00,6.706,30.688711000038893,22.503,1043126639,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:24.184+08:00,6.737,31.595515000162777,9.002,1043135641,1667,0,active,1.35,,,,,0,,
failsafe_flags,2026-08-07T14:58:24.887+08:00,7.440,,,1043729212,1667,0,active,1.4,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:24.923+08:00,7.473,735.6937549998293,1008.228,1044143869,1667,0,active,1.4,,,,,0,,
vehicle_status,2026-08-07T14:58:24.956+08:00,7.507,,,1043972085,1667,0,active,1.4,,,,,0,"{'arming_state': 1, 'nav_state': 4, 'failsafe': True}",
sensor_combined,2026-08-07T14:58:24.990+08:00,7.542,69.06784200009497,40.46,1044184329,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.022+08:00,7.575,32.4427589998777,4.548,1044188877,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.053+08:00,7.605,30.704937000109567,8.955,1044197832,1667,0,active,1.4,,,,,0,,
