path,lfs_sha256,declared_size_bytes,filename_year
docs/raw/captures/ULG/log_78_2026-7-7-15-42-32.ulg,91a52472fab5553138c8a9f9e4626087c3551b151560de1f7ff32e96f06b36ce,364222,2026
docs/raw/captures/ULG/log_79_2026-7-7-15-43-44.ulg,b54c422131e27b748d5a45513982f13564359ce06015969d1e798b78a3698d7d,2946304,2026
docs/raw/captures/ULG/log_7_2024-8-8-15-15-58.ulg,f88b0618f09fbca37f496745157313dbcb17ee998176d2b1c197a00341ec05b5,2597471,2024
docs/raw/captures/ULG/log_80_2026-7-7-15-59-54.ulg,546f3d774016ed70015accbb0457c6aceb91d010d2fd5fe7759ec4515de8defe,1009556,2026
docs/raw/captures/ULG/log_81_2026-7-7-16-02-08.ulg,8c934331c4909c71262704eb5c2103a5ed23e39ef0089293f5490cc2646729ae,2088936,2026
docs/raw/captures/ULG/log_82_2026-7-7-16-04-28.ulg,8febebca8f23752041356e42166141b637459c171f14e718d362c5511687ca87,3061365,2026
docs/raw/captures/ULG/log_83_2026-7-7-16-07-36.ulg,072a5af8e231fca2e0d542fcd1540022b2520c2523fcc88066a9f56e3dbe71a4,867391,2026
docs/raw/captures/ULG/log_84_2026-7-7-16-09-56.ulg,cc0897611bff0e01ab0a27fa320e1ea2393ede7e7b8832b00cd60e1c3282d2c2,468674,2026
docs/raw/captures/ULG/log_85_2026-7-7-16-10-24.ulg,ef7a8c0d0835f612636da00fb871c1f8c2775570efff06dd4a7a6333be5207ef,1128491,2026
docs/raw/captures/ULG/log_86_2026-7-7-16-13-52.ulg,3196ca4d4894395a9166a39b5155b6ed1798e488f6fefaa8d545e161a0197898,7431258,2026
docs/raw/captures/ULG/log_87_2026-7-21-10-38-52.ulg,3b61464e38eee3c868b50fe606ec15ca3a207795008e0e31b5237b646dfb999a,182069,2026
docs/raw/captures/ULG/log_88_2026-7-22-17-52-54.ulg,7ad7866b6e0ea1a9afb8e2f18ae8735d253e088d4d8bfcb2b1ed3e68e65b51e7,172646,2026
docs/raw/captures/ULG/log_89_2026-8-3-13-29-38.ulg,025353b1d66f793ace0fd44786274a5dff1ffd36a45a6f0a9d562dc00c5b9f01,167955,2026
docs/raw/captures/ULG/log_8_2024-8-8-15-19-42.ulg,60d9615cdc79d9a8adf51030c5edb02633a59104d0186f4094711b772e714244,431617,2024
docs/raw/captures/ULG/log_90_2026-8-3-14-04-46.ulg,5e40060520268667ebab88beeebc9865408a6e91ccb382282c2ba6e507201d8b,479647,2026
docs/raw/captures/ULG/log_91_2026-8-3-14-04-50.ulg,e37c9a447b6c1265cf9c2e25b5b7df9c7e0f989adf18f0e376c3a04b6f76ded7,174426,2026
docs/raw/captures/ULG/log_92_2026-8-3-14-05-02.ulg,d4b47bf9e076446dd78ad3c99586cbc42e9b5ef0e1822b9ddd693d258d058225,177597,2026
docs/raw/captures/ULG/log_93_2026-8-3-14-49-28.ulg,2a678e9bf0a6335a17ec7f5b8e602314a7db21ef2cf37811ae61b8318c2d08e7,333181,2026
docs/raw/captures/ULG/log_94_2026-8-3-14-49-40.ulg,0f0455449c772580ebdefccd4494fa7e72c5a2068721d600bf5538afed5d5372,327655,2026
docs/raw/captures/ULG/log_95_2026-8-10-21-31-50.ulg,4f079724e808a55aad59a7db46b0718c8c10cb35c140be1b07e59092ea16d2b1,225779,2026
docs/raw/captures/ULG/log_96_2026-8-12-15-23-22.ulg,6547a9436f5572db1fa9baca67f897da4c95fa8581fa3244df37c9c8f4b30e12,262644,2026
docs/raw/captures/ULG/log_97_2026-8-12-15-26-18.ulg,ae3a7f15f8d60671894af5a86a7212c343beb7776840a2172e5a27953e7bea9b,1682612,2026
docs/raw/captures/ULG/log_98_2026-8-20-14-06-02.ulg,854e82464f004b555cd7056e395b84901258e2714c759f7d52952b9fcf780893,1879659,2026
docs/raw/captures/ULG/log_9_2024-8-8-15-22-28.ulg,b406312ca88759d5baa7bc15ffb89a2253b260e766fb0172db56ca8a184c8f07,4373225,2024
