sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
391,1674410655777,39265.537,97.620,1787198844590411,reliable,1,1,15,15,0
392,1674513917937,39368.799,103.262,1787198844693677,reliable,1,1,15,15,0
393,1674609558783,39464.440,95.641,1787198844789312,reliable,1,1,15,15,0
394,1674712331840,39567.213,102.773,1787198844892086,reliable,1,1,15,15,0
395,1674809936012,39664.817,97.604,1787198844989692,reliable,1,1,15,15,0
396,1674913690189,39768.571,103.754,1787198845093449,reliable,1,1,15,15,0
397,1675010255221,39865.136,96.565,1787198845190010,reliable,1,1,15,15,0
398,1675114971411,39969.852,104.716,1787198845294727,reliable,1,1,15,15,0
399,1675210371179,40065.252,95.400,1787198845390127,reliable,1,1,15,15,0
400,1675313535378,40168.416,103.164,1787198845493320,reliable,1,1,15,15,0
401,1675409745497,40264.626,96.210,1787198845589495,reliable,1,1,15,15,0
402,1675512203772,40367.085,102.458,1787198845691950,reliable,1,1,15,15,0
403,1675609679197,40464.560,97.475,1787198845789429,reliable,1,1,15,15,0
404,1675711987985,40566.869,102.309,1787198845891780,reliable,1,1,15,15,0
405,1675809750574,40664.632,97.763,1787198845989504,reliable,1,1,15,15,0
406,1675912066789,40766.948,102.316,1787198846091814,reliable,1,1,15,15,0
407,1676009710967,40864.592,97.644,1787198846189459,reliable,1,1,15,15,0
408,1676112680493,40967.561,102.970,1787198846292431,reliable,1,1,15,15,0
409,1676209739270,41064.620,97.059,1787198846389489,reliable,1,1,15,15,0
410,1676312198315,41167.079,102.459,1787198846491951,reliable,1,1,15,15,0
411,1676455311377,41310.192,143.113,1787198846635055,reliable,1,1,15,15,0
412,1676517928707,41372.810,62.617,1787198846697679,reliable,1,1,15,15,0
413,1676611305303,41466.186,93.377,1787198846791058,reliable,1,1,15,15,0
414,1676713979057,41568.860,102.674,1787198846893732,reliable,1,1,15,15,0
415,1676809228347,41664.109,95.249,1787198846988982,reliable,1,1,15,15,0
416,1676912272281,41767.153,103.044,1787198847092027,reliable,1,1,15,15,0
417,1677011045114,41865.926,98.773,1787198847190795,reliable,1,1,15,15,0
418,1677113642221,41968.523,102.597,1787198847293424,reliable,1,1,15,15,0
419,1677210720009,42065.601,97.078,1787198847390468,reliable,1,1,15,15,0
420,1677313175855,42168.057,102.456,1787198847492921,reliable,1,1,15,15,0
421,1677410809633,42265.691,97.634,1787198847590558,reliable,1,1,15,15,0
422,1677513438743,42368.320,102.629,1787198847693189,reliable,1,1,15,15,0
423,1677611235994,42466.117,97.797,1787198847790994,reliable,1,1,15,15,0
424,1677714001341,42568.882,102.765,1787198847893783,reliable,1,1,15,15,0
425,1677810971503,42665.852,96.970,1787198847990720,reliable,1,1,15,15,0
426,1677913439127,42768.320,102.468,1787198848093183,reliable,1,1,15,15,0
427,1678010817329,42865.698,97.378,1787198848190567,reliable,1,1,15,15,0
428,1678123557084,42978.438,112.740,1787198848303309,reliable,1,1,15,15,0
429,1678210592269,43065.473,87.035,1787198848390363,reliable,1,1,15,15,0
430,1678313120795,43168.002,102.529,1787198848492868,reliable,1,1,15,15,0
431,1678409550970,43264.432,96.430,1787198848589293,reliable,1,1,15,15,0
432,1678512059205,43366.940,102.508,1787198848691806,reliable,1,1,15,15,0
