sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
690,2278335045248,69413.841,106.880,1787194127381293,reliable,1,1,15,15,0
691,2278428087810,69506.884,93.043,1787194127474338,reliable,1,1,15,15,0
692,2278538189783,69616.986,110.102,1787194127584432,reliable,1,1,15,15,0
693,2278623561368,69702.357,85.372,1787194127669802,reliable,1,1,15,15,0
694,2278739658465,69818.454,116.097,1787194127785899,reliable,1,1,15,15,0
695,2278823842378,69902.638,84.184,1787194127870259,reliable,1,1,15,15,0
696,2278932344181,70011.140,108.502,1787194127978618,reliable,1,1,15,15,0
697,2279027388978,70106.185,95.045,1787194128073626,reliable,1,1,15,15,0
698,2279134987984,70213.784,107.599,1787194128181234,reliable,1,1,15,15,0
699,2279227441139,70306.237,92.453,1787194128273678,reliable,1,1,15,15,0
700,2279332883662,70411.679,105.443,1787194128379121,reliable,1,1,15,15,0
701,2279425736548,70504.532,92.853,1787194128471974,reliable,1,1,15,15,0
702,2279532614721,70611.410,106.878,1787194128578864,reliable,1,1,15,15,0
703,2279628820178,70707.616,96.205,1787194128675200,reliable,1,1,15,15,0
704,2279739034600,70817.830,110.214,1787194128785678,reliable,1,1,15,15,0
705,2279827718142,70906.514,88.684,1787194128873978,reliable,1,1,15,15,0
706,2279938244323,71017.040,110.526,1787194128984482,reliable,1,1,15,15,0
707,2280024792917,71103.589,86.549,1787194129071035,reliable,1,1,15,15,0
708,2280133977272,71212.773,109.184,1787194129180221,reliable,1,1,15,15,0
709,2280226835084,71305.631,92.858,1787194129273074,reliable,1,1,15,15,0
710,2280337210854,71416.007,110.376,1787194129383489,reliable,1,1,15,15,0
711,2280424514266,71503.310,87.303,1787194129470762,reliable,1,1,15,15,0
712,2280533352237,71612.148,108.838,1787194129579712,reliable,1,1,15,15,0
713,2280632709292,71711.505,99.357,1787194129678962,reliable,1,1,15,15,0
714,2280738598744,71817.395,105.889,1787194129784837,reliable,1,1,15,15,0
715,2280822671863,71901.468,84.073,1787194129868911,reliable,1,1,15,15,0
716,2280937241810,72016.038,114.570,1787194129983504,reliable,1,1,15,15,0
717,2281029594700,72108.390,92.353,1787194130075841,reliable,1,1,15,15,0
718,2281137670905,72216.467,108.076,1787194130183918,reliable,1,1,15,15,0
719,2281233743325,72312.539,96.072,1787194130279985,reliable,1,1,15,15,0
720,2281334535291,72413.331,100.792,1787194130381289,reliable,1,1,15,15,0
721,2281426961944,72505.758,92.427,1787194130473202,reliable,1,1,15,15,0
722,2281532740507,72611.536,105.779,1787194130578978,reliable,1,1,15,15,0
723,2281629102156,72707.898,96.362,1787194130675346,reliable,1,1,15,15,0
724,2281736294129,72815.090,107.192,1787194130782544,reliable,1,1,15,15,0
725,2281830613860,72909.410,94.320,1787194130876865,reliable,1,1,15,15,0
726,2281938219035,73017.015,107.605,1787194130984463,reliable,1,1,15,15,0
727,2282028566006,73107.362,90.347,1787194131074819,reliable,1,1,15,15,0
728,2282127050951,73205.847,98.485,1787194131173300,reliable,1,1,15,15,0
729,2282231367523,73310.163,104.317,1787194131277781,reliable,1,1,15,15,0
730,2282339821470,73418.617,108.454,1787194131386061,reliable,1,1,15,15,0
731,2282425940341,73504.736,86.119,1787194131472329,reliable,1,1,15,15,0
732,2282537906481,73616.702,111.966,1787194131584275,reliable,1,1,15,15,0
733,2282628684767,73707.481,90.778,1787194131674932,reliable,1,1,15,15,0
734,2282735301542,73814.097,106.617,1787194131781543,reliable,1,1,15,15,0
735,2282832808137,73911.604,97.507,1787194131879061,reliable,1,1,15,15,0
736,2282941066683,74019.862,108.259,1787194131987308,reliable,1,1,15,15,0
737,2283025647785,74104.444,84.581,1787194132071889,reliable,1,1,15,15,0
738,2283133766449,74212.562,108.119,1787194132180008,reliable,1,1,15,15,0
739,2283228174819,74306.971,94.408,1787194132274427,reliable,1,1,15,15,0
740,2283335354784,74414.151,107.180,1787194132381723,reliable,1,1,15,15,0
741,2283431066861,74509.863,95.712,1787194132477317,reliable,1,1,15,15,0
742,2283537775284,74616.571,106.708,1787194132584019,reliable,1,1,15,15,0
743,2283623213546,74702.009,85.438,1787194132669460,reliable,1,1,15,15,0
744,2283733602330,74812.398,110.389,1787194132779839,reliable,1,1,15,15,0
745,2283833270973,74912.067,99.669,1787194132879527,reliable,1,1,15,15,0
746,2283942467063,75021.263,109.196,1787194132988706,reliable,1,1,15,15,0
747,2284028146389,75106.942,85.679,1787194133074389,reliable,1,1,15,15,0
748,2284133545213,75212.341,105.399,1787194133179786,reliable,1,1,15,15,0
749,2284228112403,75306.908,94.567,1787194133274356,reliable,1,1,15,15,0
750,2284334593068,75413.389,106.481,1787194133380843,reliable,1,1,15,15,0
751,2284429009659,75507.805,94.417,1787194133475257,reliable,1,1,15,15,0
752,2284535260745,75614.057,106.251,1787194133581501,reliable,1,1,15,15,0
753,2284629034683,75707.830,93.774,1787194133675273,reliable,1,1,15,15,0
754,2284736407901,75815.204,107.373,1787194133782647,reliable,1,1,15,15,0
755,2284828546372,75907.342,92.138,1787194133874787,reliable,1,1,15,15,0
756,2284934073937,76012.870,105.528,1787194133980352,reliable,1,1,15,15,0
757,2285028781291,76107.577,94.707,1787194134075053,reliable,1,1,15,15,0
758,2285140110303,76218.906,111.329,1787194134186371,reliable,1,1,15,15,0
759,2285226322419,76305.118,86.212,1787194134272576,reliable,1,1,15,15,0
760,2285336738045,76415.534,110.416,1787194134382977,reliable,1,1,15,15,0
761,2285426971913,76505.768,90.234,1787194134473208,reliable,1,1,15,15,0
762,2285532554518,76611.350,105.583,1787194134578793,reliable,1,1,15,15,0
763,2285626975618,76705.771,94.421,1787194134673218,reliable,1,1,15,15,0
764,2285732386663,76811.182,105.411,1787194134778625,reliable,1,1,15,15,0
765,2285830326164,76909.122,97.940,1787194134876584,reliable,1,1,15,15,0
766,2285936937584,77015.733,106.611,1787194134983180,reliable,1,1,15,15,0
767,2286024557666,77103.353,87.620,1787194135070796,reliable,1,1,15,15,0
768,2286133918169,77212.714,109.361,1787194135180157,reliable,1,1,15,15,0
769,2286227666179,77306.462,93.748,1787194135273904,reliable,1,1,15,15,0
770,2286332698867,77411.495,105.033,1787194135378937,reliable,1,1,15,15,0
771,2286426858736,77505.654,94.160,1787194135473096,reliable,1,1,15,15,0
772,2286529250695,77608.046,102.392,1787194135575493,reliable,1,1,15,15,0
773,2286629075624,77707.871,99.825,1787194135675319,reliable,1,1,15,15,0
774,2286734768374,77813.564,105.693,1787194135781006,reliable,1,1,15,15,0
775,2286829138813,77907.935,94.370,1787194135875375,reliable,1,1,15,15,0
776,2286934763016,78013.559,105.624,1787194135981005,reliable,1,1,15,15,0
777,2287028214403,78107.010,93.451,1787194136074450,reliable,1,1,15,15,0
778,2287136077649,78214.873,107.863,1787194136182318,reliable,1,1,15,15,0
779,2287224968698,78303.764,88.891,1787194136271210,reliable,1,1,15,15,0
780,2287332364083,78411.160,107.395,1787194136378608,reliable,1,1,15,15,0
781,2287428199866,78506.996,95.836,1787194136474439,reliable,1,1,15,15,0
782,2287533978953,78612.775,105.779,1787194136580218,reliable,1,1,15,15,0
783,2287628698525,78707.494,94.720,1787194136674938,reliable,1,1,15,15,0
784,2287733778507,78812.574,105.080,1787194136780022,reliable,1,1,15,15,0
785,2287829218912,78908.015,95.440,1787194136875469,reliable,1,1,15,15,0
786,2287934084165,79012.880,104.865,1787194136980324,reliable,1,1,15,15,0
787,2288027998738,79106.794,93.915,1787194137074296,reliable,1,1,15,15,0
788,2288136185420,79214.981,108.187,1787194137182419,reliable,1,1,15,15,0
789,2288228606452,79307.402,92.421,1787194137274847,reliable,1,1,15,15,0
790,2288334811506,79413.607,106.205,1787194137381052,reliable,1,1,15,15,0
791,2288427807829,79506.604,92.996,1787194137474048,reliable,1,1,15,15,0
792,2288533192302,79611.988,105.384,1787194137579431,reliable,1,1,15,15,0
793,2288628523067,79707.319,95.331,1787194137674764,reliable,1,1,15,15,0
794,2288733974935,79812.771,105.452,1787194137780214,reliable,1,1,15,15,0
795,2288828173776,79906.970,94.199,1787194137874418,reliable,1,1,15,15,0
796,2288933237435,80012.033,105.064,1787194137979480,reliable,1,1,15,15,0
797,2289028320826,80107.117,95.083,1787194138074561,reliable,1,1,15,15,0
798,2289138114266,80216.910,109.793,1787194138184360,reliable,1,1,15,15,0
799,2289224662450,80303.458,86.548,1787194138270903,reliable,1,1,15,15,0
800,2289333294493,80412.090,108.632,1787194138379556,reliable,1,1,15,15,0
801,2289428354650,80507.150,95.060,1787194138474721,reliable,1,1,15,15,0
802,2289539824903,80618.621,111.470,1787194138586075,reliable,1,1,15,15,0
803,2289625271821,80704.068,85.447,1787194138671515,reliable,1,1,15,15,0
804,2289737073832,80815.870,111.802,1787194138783361,reliable,1,1,15,15,0
805,2289829655284,80908.451,92.581,1787194138875906,reliable,1,1,15,15,0
806,2289937220462,81016.016,107.565,1787194138983461,reliable,1,1,15,15,0
807,2290024244890,81103.041,87.024,1787194139070489,reliable,1,1,15,15,0
808,2290136873400,81215.669,112.629,1787194139183250,reliable,1,1,15,15,0
809,2290224078923,81302.875,87.206,1787194139270324,reliable,1,1,15,15,0
810,2290334209335,81413.005,110.130,1787194139380450,reliable,1,1,15,15,0
811,2290429554015,81508.350,95.345,1787194139475802,reliable,1,1,15,15,0
812,2290536517593,81615.313,106.964,1787194139582764,reliable,1,1,15,15,0
813,2290626705781,81705.502,90.188,1787194139672975,reliable,1,1,15,15,0
814,2290737439389,81816.235,110.734,1787194139783697,reliable,1,1,15,15,0
815,2290828111791,81906.908,90.672,1787194139874357,reliable,1,1,15,15,0
816,2290934005209,82012.801,105.893,1787194139980244,reliable,1,1,15,15,0
817,2291028456917,82107.253,94.452,1787194140074696,reliable,1,1,15,15,0
818,2291135941412,82214.737,107.484,1787194140182182,reliable,1,1,15,15,0
819,2291228579021,82307.375,92.638,1787194140274822,reliable,1,1,15,15,0
820,2291337213585,82416.009,108.635,1787194140383453,reliable,1,1,15,15,0
821,2291422731893,82501.528,85.518,1787194140468972,reliable,1,1,15,15,0
822,2291533629184,82612.425,110.897,1787194140579870,reliable,1,1,15,15,0
823,2291630426407,82709.222,96.797,1787194140676678,reliable,1,1,15,15,0
824,2291741799272,82820.595,111.373,1787194140788041,reliable,1,1,15,15,0
825,2291827831043,82906.627,86.032,1787194140874073,reliable,1,1,15,15,0
826,2291935640513,83014.436,107.809,1787194140981914,reliable,1,1,15,15,0
827,2292027851573,83106.647,92.211,1787194141074463,reliable,1,1,15,15,0
828,2292135247741,83214.043,107.396,1787194141181486,reliable,1,1,15,15,0
829,2292230362676,83309.158,95.115,1787194141277247,reliable,1,1,15,15,0
830,2292339555598,83418.351,109.193,1787194141385794,reliable,1,1,15,15,0
831,2292423796084,83502.592,84.240,1787194141470036,reliable,1,1,15,15,0
832,2292532834439,83611.630,109.038,1787194141579077,reliable,1,1,15,15,0
833,2292630216006,83709.012,97.382,1787194141676458,reliable,1,1,15,15,0
834,2292740787743,83819.584,110.572,1787194141787024,reliable,1,1,15,15,0
835,2292824767898,83903.564,83.980,1787194141871010,reliable,1,1,15,15,0
836,2292934091386,84012.887,109.323,1787194141980335,reliable,1,1,15,15,0
837,2293030784535,84109.580,96.693,1787194142077027,reliable,1,1,15,15,0
838,2293139400403,84218.196,108.616,1787194142185641,reliable,1,1,15,15,0
839,2293223176770,84301.973,83.776,1787194142269416,reliable,1,1,15,15,0
840,2293337350204,84416.146,114.173,1787194142383731,reliable,1,1,15,15,0
841,2293422616718,84501.412,85.267,1787194142468862,reliable,1,1,15,15,0
842,2293539687149,84618.483,117.070,1787194142585927,reliable,1,1,15,15,0
843,2293628802703,84707.598,89.116,1787194142675059,reliable,1,1,15,15,0
844,2293735619449,84814.415,106.817,1787194142781858,reliable,1,1,15,15,0
845,2293829683165,84908.479,94.064,1787194142875931,reliable,1,1,15,15,0
846,2293938800209,85017.596,109.117,1787194142985041,reliable,1,1,15,15,0
847,2294024452211,85103.248,85.652,1787194143070693,reliable,1,1,15,15,0
848,2294142694595,85221.490,118.242,1787194143188958,reliable,1,1,15,15,0
849,2294229056325,85307.852,86.362,1787194143275291,reliable,1,1,15,15,0
850,2294333741259,85412.537,104.685,1787194143379981,reliable,1,1,15,15,0
851,2294429294352,85508.090,95.553,1787194143475539,reliable,1,1,15,15,0
852,2294533887569,85612.683,104.593,1787194143580130,reliable,1,1,15,15,0
853,2294628111866,85706.908,94.224,1787194143674350,reliable,1,1,15,15,0
854,2294732420719,85811.216,104.309,1787194143778663,reliable,1,1,15,15,0
855,2294829497017,85908.293,97.076,1787194143875739,reliable,1,1,15,15,0
856,2294934173823,86012.970,104.677,1787194143980415,reliable,1,1,15,15,0
857,2295028764310,86107.560,94.590,1787194144075005,reliable,1,1,15,15,0
858,2295128850919,86207.647,100.087,1787194144175097,reliable,1,1,15,15,0
859,2295228641802,86307.438,99.791,1787194144274884,reliable,1,1,15,15,0
860,2295334067598,86412.863,105.426,1787194144380308,reliable,1,1,15,15,0
861,2295428920849,86507.717,94.853,1787194144475310,reliable,1,1,15,15,0
