sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
335,1879917718007,33662.158,115.928,1786679005739131,reliable,1,1,4,4,0
336,1880000843397,33745.283,83.125,1786679005822254,reliable,1,1,4,4,0
337,1880118267538,33862.707,117.424,1786679005939713,reliable,1,1,4,4,0
338,1880201843058,33946.283,83.576,1786679006023255,reliable,1,1,4,4,0
339,1880318594571,34063.034,116.752,1786679006140012,reliable,1,1,4,4,0
340,1880401773813,34146.213,83.179,1786679006223186,reliable,1,1,4,4,0
341,1880499551291,34243.991,97.777,1786679006320957,reliable,1,1,4,4,0
342,1880603560592,34348.000,104.009,1786679006424970,reliable,1,1,4,4,0
343,1880718361168,34462.801,114.801,1786679006539772,reliable,1,1,4,4,0
344,1880801265303,34545.705,82.904,1786679006622673,reliable,1,1,4,4,0
345,1880899390081,34643.830,98.125,1786679006720800,reliable,1,1,4,4,0
346,1881003883613,34748.323,104.494,1786679006825293,reliable,1,1,4,4,0
347,1881099290340,34843.730,95.407,1786679006920697,reliable,1,1,4,4,0
348,1881203546283,34947.986,104.256,1786679007024962,reliable,1,1,4,4,0
349,1881318921892,35063.361,115.376,1786679007140334,reliable,1,1,4,4,0
350,1881401969864,35146.409,83.048,1786679007223378,reliable,1,1,4,4,0
351,1881499132683,35243.572,97.163,1786679007320541,reliable,1,1,4,4,0
352,1881602770565,35347.210,103.638,1786679007424198,reliable,1,1,4,4,0
353,1881699798534,35444.238,97.028,1786679007521212,reliable,1,1,4,4,0
354,1881805149944,35549.589,105.351,1786679007626563,reliable,1,1,4,4,0
355,1881899497140,35643.937,94.347,1786679007720910,reliable,1,1,4,4,0
356,1882003925721,35748.365,104.429,1786679007825341,reliable,1,1,4,4,0
357,1882100238577,35844.678,96.313,1786679007921645,reliable,1,1,4,4,0
358,1882204945608,35949.385,104.707,1786679008026358,reliable,1,1,4,4,0
359,1882318606746,36063.046,113.661,1786679008140022,reliable,1,1,4,4,0
360,1882401723513,36146.163,83.117,1786679008223132,reliable,1,1,4,4,0
361,1882499515688,36243.955,97.792,1786679008320928,reliable,1,1,4,4,0
362,1882603621810,36348.061,104.106,1786679008425029,reliable,1,1,4,4,0
363,1882699392037,36443.832,95.770,1786679008520798,reliable,1,1,4,4,0
364,1882802659362,36547.099,103.267,1786679008624066,reliable,1,1,4,4,0
365,1882918393585,36662.833,115.734,1786679008739804,reliable,1,1,4,4,0
366,1883001481168,36745.921,83.088,1786679008822896,reliable,1,1,4,4,0
367,1883099275935,36843.715,97.795,1786679008920687,reliable,1,1,4,4,0
368,1883204604905,36949.044,105.329,1786679009026013,reliable,1,1,4,4,0
369,1883299234221,37043.674,94.629,1786679009120643,reliable,1,1,4,4,0
370,1883403025626,37147.465,103.791,1786679009224445,reliable,1,1,4,4,0
371,1883518834105,37263.274,115.808,1786679009340239,reliable,1,1,4,4,0
372,1883601766383,37346.206,82.932,1786679009423168,reliable,1,1,4,4,0
373,1883699459712,37443.899,97.693,1786679009520869,reliable,1,1,4,4,0
374,1883803601874,37548.041,104.142,1786679009625016,reliable,1,1,4,4,0
375,1883918371906,37662.811,114.770,1786679009739775,reliable,1,1,4,4,0
376,1884000938418,37745.378,82.567,1786679009822339,reliable,1,1,4,4,0
377,1884119335928,37863.775,118.398,1786679009940738,reliable,1,1,4,4,0
378,1884202125400,37946.565,82.789,1786679010023527,reliable,1,1,4,4,0
379,1884299471430,38043.911,97.346,1786679010120880,reliable,1,1,4,4,0
380,1884403709248,38148.149,104.238,1786679010225119,reliable,1,1,4,4,0
381,1884519130632,38263.570,115.421,1786679010340536,reliable,1,1,4,4,0
382,1884604669086,38349.109,85.538,1786679010426084,reliable,1,1,4,4,0
383,1884719215065,38463.655,114.546,1786679010540618,reliable,1,1,4,4,0
384,1884803106869,38547.546,83.892,1786679010624511,reliable,1,1,4,4,0
