sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
146,4492312566776,14776.993,82.863,1786609859143747,reliable,1,1,4,4,0
147,4492429274814,14893.701,116.708,1786609859260458,reliable,1,1,4,4,0
148,4492511785977,14976.212,82.511,1786609859342971,reliable,1,1,4,4,0
149,4492629021608,15093.448,117.236,1786609859460209,reliable,1,1,4,4,0
150,4492712129658,15176.556,83.108,1786609859543320,reliable,1,1,4,4,0
151,4492827194068,15291.620,115.064,1786609859658381,reliable,1,1,4,4,0
152,4492931194465,15395.620,104.000,1786609859762381,reliable,1,1,4,4,0
153,4493027638040,15492.064,96.444,1786609859858829,reliable,1,1,4,4,0
154,4493131695413,15596.121,104.057,1786609859962878,reliable,1,1,4,4,0
155,4493216904938,15681.331,85.210,1786609860048085,reliable,1,1,4,4,0
156,4493320438445,15784.864,103.534,1786609860151624,reliable,1,1,4,4,0
157,4493427560441,15891.986,107.122,1786609860258748,reliable,1,1,4,4,0
158,4493531106904,15995.533,103.546,1786609860362295,reliable,1,1,4,4,0
159,4493628300575,16092.727,97.194,1786609860459489,reliable,1,1,4,4,0
160,4493711474501,16175.900,83.174,1786609860542662,reliable,1,1,4,4,0
161,4493829715461,16294.141,118.241,1786609860660893,reliable,1,1,4,4,0
162,4493912610875,16377.037,82.895,1786609860743846,reliable,1,1,4,4,0
163,4494026782811,16491.209,114.172,1786609860857974,reliable,1,1,4,4,0
164,4494130358131,16594.784,103.575,1786609860961545,reliable,1,1,4,4,0
165,4494229219220,16693.645,98.861,1786609861060407,reliable,1,1,4,4,0
166,4494312297308,16776.723,83.078,1786609861143478,reliable,1,1,4,4,0
167,4494428746849,16893.173,116.450,1786609861259932,reliable,1,1,4,4,0
168,4494511699565,16976.126,82.953,1786609861342888,reliable,1,1,4,4,0
169,4494627621223,17092.047,115.922,1786609861458810,reliable,1,1,4,4,0
170,4494731014817,17195.441,103.394,1786609861562192,reliable,1,1,4,4,0
171,4494827377172,17291.803,96.362,1786609861658572,reliable,1,1,4,4,0
172,4494930905833,17395.332,103.529,1786609861762094,reliable,1,1,4,4,0
173,4495028573101,17492.999,97.667,1786609861859762,reliable,1,1,4,4,0
174,4495112770651,17577.197,84.198,1786609861943959,reliable,1,1,4,4,0
175,4495227009371,17691.435,114.239,1786609862058205,reliable,1,1,4,4,0
176,4495330655069,17795.081,103.646,1786609862161842,reliable,1,1,4,4,0
177,4495429648722,17894.075,98.994,1786609862260836,reliable,1,1,4,4,0
178,4495512288027,17976.714,82.639,1786609862343476,reliable,1,1,4,4,0
179,4495626728152,18091.154,114.440,1786609862457920,reliable,1,1,4,4,0
180,4495730415887,18194.842,103.688,1786609862561599,reliable,1,1,4,4,0
181,4495828197910,18292.624,97.782,1786609862659385,reliable,1,1,4,4,0
182,4495911352271,18375.778,83.154,1786609862742536,reliable,1,1,4,4,0
